vec3(0.280372, 0.000000, -11.880859)
vec4(-1.000928, -2.405800, -18.210758, 1.000000)
vec4(-0.837328, -2.405800, -18.256159, 1.000000)
vec4(-0.672028, -2.405800, -18.295460, 1.000000)
vec4(-0.505428, -2.405800, -18.328360, 1.000000)
vec4(-0.337728, -2.405800, -18.355059, 1.000000)
vec4(-0.169128, -2.405800, -18.375460, 1.000000)
vec4(0.000172, -2.405800, -18.389460, 1.000000)
vec4(0.169872, -2.405800, -18.397060, 1.000000)
vec4(0.339672, -2.405800, -18.398258, 1.000000)
vec4(0.509472, -2.405800, -18.393059, 1.000000)
vec4(0.678972, -2.405800, -18.381458, 1.000000)
vec4(0.847972, -2.405800, -18.363461, 1.000000)
vec4(1.016072, -2.405800, -18.339060, 1.000000)
vec4(1.183172, -2.405800, -18.308460, 1.000000)
vec4(1.349072, -2.405800, -18.271559, 1.000000)
vec4(1.513372, -2.405800, -18.228359, 1.000000)
vec4(1.675972, -2.405800, -18.179060, 1.000000)
vec4(1.836572, -2.405800, -18.123659, 1.000000)
vec4(1.994972, -2.405800, -18.062160, 1.000000)
vec4(-1.878128, -2.405800, -17.709560, 1.000000)
vec4(-1.732728, -2.405800, -17.788260, 1.000000)
vec4(-1.584628, -2.405800, -17.861559, 1.000000)
vec4(-1.433728, -2.405800, -17.929260, 1.000000)
vec4(-1.280428, -2.405800, -17.991159, 1.000000)
vec4(-0.647128, -2.405800, -18.179958, 1.000000)
vec4(-1.124928, -2.405800, -18.047260, 1.000000)
vec4(-0.484828, -2.405800, -18.212059, 1.000000)
vec4(-0.967328, -2.405800, -18.097460, 1.000000)
vec4(-0.808028, -2.405800, -18.141659, 1.000000)
vec4(-0.321528, -2.405800, -18.238060, 1.000000)
vec4(0.338172, -2.405800, -18.280060, 1.000000)
vec4(1.321072, -2.405800, -18.156660, 1.000000)
vec4(-0.157328, -2.405800, -18.257858, 1.000000)
vec4(1.481072, -2.405800, -18.114559, 1.000000)
vec4(0.503572, -2.405800, -18.274960, 1.000000)
vec4(1.639472, -2.405800, -18.066559, 1.000000)
vec4(0.007572, -2.405800, -18.271460, 1.000000)
vec4(0.668572, -2.405800, -18.263660, 1.000000)
vec4(1.795872, -2.405800, -18.012560, 1.000000)
vec4(0.172772, -2.405800, -18.278858, 1.000000)
vec4(0.833072, -2.405800, -18.246159, 1.000000)
vec4(1.950072, -2.405800, -17.952759, 1.000000)
vec4(0.996872, -2.405800, -18.222460, 1.000000)
vec4(1.159572, -2.405800, -18.192558, 1.000000)
vec4(-1.822328, -2.405800, -17.610859, 1.000000)
vec4(-1.680828, -2.405800, -17.687559, 1.000000)
vec4(-1.536428, -2.405800, -17.758959, 1.000000)
vec4(-1.389428, -2.405800, -17.824860, 1.000000)
vec4(-1.240128, -2.405800, -17.885159, 1.000000)
vec4(-1.088628, -2.405800, -17.939859, 1.000000)
vec4(-0.935128, -2.405800, -17.988760, 1.000000)
vec4(-0.779928, -2.405800, -18.031759, 1.000000)
vec4(-0.623128, -2.405800, -18.069059, 1.000000)
vec4(-0.465128, -2.405800, -18.100359, 1.000000)
vec4(-0.305928, -2.405800, -18.125660, 1.000000)
vec4(-0.146028, -2.405800, -18.144958, 1.000000)
vec4(0.014572, -2.405800, -18.158159, 1.000000)
vec4(0.175572, -2.405800, -18.165359, 1.000000)
vec4(0.336772, -2.405800, -18.166559, 1.000000)
vec4(0.497772, -2.405800, -18.161560, 1.000000)
vec4(0.658572, -2.405800, -18.150558, 1.000000)
vec4(0.818872, -2.405800, -18.133459, 1.000000)
vec4(0.978372, -2.405800, -18.110359, 1.000000)
vec4(1.136872, -2.405800, -18.081360, 1.000000)
vec4(1.294272, -2.405800, -18.046259, 1.000000)
vec4(1.450172, -2.405800, -18.005360, 1.000000)
vec4(1.604372, -2.405800, -17.958559, 1.000000)
vec4(1.756772, -2.405800, -17.905960, 1.000000)
vec4(1.907072, -2.405800, -17.847660, 1.000000)
vec4(-1.903828, -2.405800, -17.435959, 1.000000)
vec4(-1.768828, -2.405800, -17.515959, 1.000000)
vec4(-1.630828, -2.405800, -17.590759, 1.000000)
vec4(-1.490128, -2.405800, -17.660259, 1.000000)
vec4(-1.201328, -2.405800, -17.783260, 1.000000)
vec4(-1.053728, -2.405800, -17.836559, 1.000000)
vec4(-0.904128, -2.405800, -17.884159, 1.000000)
vec4(-0.752828, -2.405800, -17.926159, 1.000000)
vec4(-0.600128, -2.405800, -17.962460, 1.000000)
vec4(-0.446028, -2.405800, -17.992859, 1.000000)
vec4(-0.291028, -2.405800, -18.017559, 1.000000)
vec4(0.335372, -2.405800, -18.057360, 1.000000)
vec4(-0.135128, -2.405800, -18.036360, 1.000000)
vec4(0.492272, -2.405800, -18.052559, 1.000000)
vec4(0.021372, -2.405800, -18.049259, 1.000000)
vec4(0.178272, -2.405800, -18.056358, 1.000000)
vec4(0.648972, -2.405800, -18.041859, 1.000000)
vec4(0.805172, -2.405800, -18.025259, 1.000000)
vec4(1.268472, -2.405800, -17.940159, 1.000000)
vec4(0.960672, -2.405800, -18.002659, 1.000000)
vec4(1.420372, -2.405800, -17.900259, 1.000000)
vec4(1.115172, -2.405800, -17.974360, 1.000000)
vec4(1.570672, -2.405800, -17.854660, 1.000000)
vec4(1.719172, -2.405800, -17.803459, 1.000000)
